text,label_ternary,label_original,dataset_name
এইলা দুঃক্ষের কথা আর না কইস রে ভাই,2,Sarcastic,banglasarc3
সফল এবং ধনী ব্যক্তিরা সব সময় নিজেদের কাজে মনোযোগী থাকেন এবং আত্মবিশ্বাসের সঙ্গে এগিয়ে যান,1,Neutral,banglasarc3
বাংলাদেশের শেষ প্রান্তে দাঁড়ানোর সৌভাগ্যবান হয়েছে আলহামদুলিল্লাহ,1,Neutral,banglasarc3
আহা ঠকে গেলাম তো জীবন যুদ্ধে পিছিয়ে গেলাম,2,Sarcastic,banglasarc3
কল্পনার নতুন শুরু হোক সুখের এবং শান্তিময়,0,Non-Sarcastic,banglasarc3
মুরগি কবির আর সাফা কবিরের মধ্যে মিল আছে তারা দুজনেই নাস্তিক,0,Non-Sarcastic,banglasarc3
অত্যন্ত চমৎকার পোস্ট টাকা পাওয়া যায় কিন্তু জীবনের চরম সুন্দর রোমান্টিক মুহূর্তগুলো চিরতরে হারিয়ে যায় যা পুরন করা অসম্ভব হয়ে যায়,0,Non-Sarcastic,banglasarc3
বর্ণাঢ্য কর্মময় জীবনে সোহানা সাবা অনেককেই খেয়ে দিয়েছে,2,Sarcastic,banglasarc3
সব ফ্যাসিস্ট নর্তকীদের গ্রেফতার করা হউক,0,Non-Sarcastic,banglasarc3
যদি পৃথিবীর সব কাজ এর দখলে চলে যায় কৃষি এমন একটি কাজ যেটা যেটা সবসময়ই থাকবে৷ তাই আমি একজন গর্বিত কৃষক,0,Non-Sarcastic,banglasarc3
জীবন কখনো সোজা পথ নয় তবে তা আমাদের আরও শক্তিশালী করে তোলে,1,Neutral,banglasarc3
আসুন ফেসবুকে সবাই সবাইকে ভালোবাসা দিয়ে একসাথে এগিয়ে যাই,1,Neutral,banglasarc3
সাপ টা কামড় দেওয়ার আগে সাপটাকে মেরে ফেলা ভালো,1,Neutral,banglasarc3
আলহামদুলিল্লাহ বেগম জিয়া আছেন এবং থাকবেন এদেশের কোটি মানুষের অন্তরে,0,Non-Sarcastic,banglasarc3
মা তো তাই সন্তান রেখে মরে যেতে পারি নি,0,Non-Sarcastic,banglasarc3
