text,label_binary,label_original,dataset_name
হুদাই কোনো দাবিই মানা হয়নি ২০ ওয়েভারের বাইরে হোস্টেলের ফি ৩ হাজারও ছাড় দেওয়া হয়নি উল্টো আরো এডভান্স টাকা জমা দিয়ে এসেছি লেইট রেজিষ্ট্রেশন ফি ও কমানো হয়নি হোস্টেলে ফেরার সময়ও কমানো হয়েছে আর ফ্যাকাল্টেদের ব্যবহার আগের মতোই আছে,0,Non-Sarcastic,banglasarc3
হে মুরুব্বি ভালো মেয়ের সন্ধান দিন করে ফেলি,0,Non-Sarcastic,banglasarc3
সফল কৃষক তাকে একটা নোবেল ছুঁড়ে মারা উচিৎ,0,Non-Sarcastic,banglasarc3
আমার পোলা এমন ছিলো না অই ছেমরির পাল্লায় পইরা এমন হইছ,1,Sarcastic,banglasarc3
নীলগাই কে ধরে দ্রুত আইনের আওতায় এনে উপযুক্ত শাস্তি প্রদান করার জোর দাবি জানাচ্ছি অভিযান সারা দেশে বিস্তৃত করা হোক,1,Sarcastic,banglasarc3
বুঝছি আপনি তিতুমীর কে বারসিডি বানানোর জন্যই খোদা আপনাকে কলেজে পাঠিয়েছে,1,Sarcastic,banglasarc3
মাছ গুলো কি ঠিক ছিলো নাকি,0,Non-Sarcastic,banglasarc3
দেশের উন্নয়ন ও শান্তির জন্য আমাদের সবার দায়িত্ব বড় এই ধরনের সহিংসতা না হওয়া উচিত,0,Non-Sarcastic,banglasarc3
এখানে কমেন্টে এসে দেখতে পারলাম যে এখনো ইন্ডিয়ার দালাল অভাব নাই,1,Sarcastic,banglasarc3
দেশটাই তো ছিলো চোরের হেড অফিস এগুলোর কঠিন শাস্তি দাবি করছি,0,Non-Sarcastic,banglasarc3
কেন আপনি কি সিং ঙ্গেল,1,Sarcastic,banglasarc3
এরা আবার ভারতের সাথে যুদ্ধ করার জন্য উস্কানি দেয়,0,Non-Sarcastic,banglasarc3
শীত এসে গিয়েছে,0,Non-Sarcastic,banglasarc3
আল্লাহ দাদিকে বেহেশত নসিব করুন,0,Non-Sarcastic,banglasarc3
আর বছর খানেক আগের এক ভিডিওতে দেখছিলাম যে বাজারের মাছওয়ালাও দুই পয়সার দাম দিলোনা ইউরোপিয়ান হিরো রে,0,Non-Sarcastic,banglasarc3
আমি ঘুমাইলে চোখে দেখি নাহ এটা কেউ নিউজ করে না কপাল আমার,1,Sarcastic,banglasarc3
বেডাটা কেমন নে চাইছে দেক ছো নি,1,Sarcastic,banglasarc3
বেডা মানুষের আবার কিসের স্বাধীনতা ঘরের বউ যেটা বলবে সেটাই ফাইনাল,1,Sarcastic,banglasarc3
কে বয়কট করে ইন্ডিয়া বাদে সব দেশ নিয়ে ক্রিকেটের আরেক টা সংস্থা খুলা উচিত,0,Non-Sarcastic,banglasarc3
এপ গেমের মধ্যে ফাউল মাউস স্লিপ একশন গেম কে এরা জাতীয় নিউজ বানিয়ে ফেলেছে,0,Non-Sarcastic,banglasarc3
আমরা যদি টাইম ডাইমেনশন থেকে বের হয়ে আসতে পারি তাহলে হয়তো আমরা দূর থেকে অতীতকে দেখতে পাবো কিন্তু অতীতের টাইমলাইনে প্রবেশ করে অতীতে যাওয়া আসলেই অসম্ভব বলে মনে হয়,0,Non-Sarcastic,banglasarc3
ভাই পরলে কিন্তু শেষ,0,Non-Sarcastic,banglasarc3
ভাই আমি শুধু কমেন্ট পড়তে আসছি আমার মত কারা কারা আছো,1,Sarcastic,banglasarc3
আপনার মত পাবলিকের জন্যই দেশে পজিটিভ কোন চেঞ্জ আসে না আসলেও সাসটেইনেবল হয় না,0,Non-Sarcastic,banglasarc3
লাইফে একটাই স্বপ্ন আমার টা বাচ্চাকাচ্চা হবে আর সবার বাবা আলাদা আলাদা হবে,0,Non-Sarcastic,banglasarc3
দুঃখের বিষয় হলো বাংলাদেশে লজ্জার ভ্যাকসিন পাওয়া যায় না,1,Sarcastic,banglasarc3
থেকে গেলে রাখতে বাধা নেই,0,Non-Sarcastic,banglasarc3
আপনি কোথায় আছেন পিও আপনার বক্তৃতা খুব মিস করছি,1,Sarcastic,banglasarc3
